left_0_x,left_1_x,left_2_x,left_3_x,left_4_x,left_5_x,left_6_x,left_7_x,left_8_x,left_9_x,left_10_x,left_11_x,left_12_x,left_13_x,left_14_x,left_15_x,left_16_x,left_17_x,left_18_x,left_19_x,left_20_x,left_0_y,left_1_y,left_2_y,left_3_y,left_4_y,left_5_y,left_6_y,left_7_y,left_8_y,left_9_y,left_10_y,left_11_y,left_12_y,left_13_y,left_14_y,left_15_y,left_16_y,left_17_y,left_18_y,left_19_y,left_20_y,right_0_x,right_1_x,right_2_x,right_3_x,right_4_x,right_5_x,right_6_x,right_7_x,right_8_x,right_9_x,right_10_x,right_11_x,right_12_x,right_13_x,right_14_x,right_15_x,right_16_x,right_17_x,right_18_x,right_19_x,right_20_x,right_0_y,right_1_y,right_2_y,right_3_y,right_4_y,right_5_y,right_6_y,right_7_y,right_8_y,right_9_y,right_10_y,right_11_y,right_12_y,right_13_y,right_14_y,right_15_y,right_16_y,right_17_y,right_18_y,right_19_y,right_20_y,class_id
1015.300941,493.7076902,1055.955963,467.2474194,1076.254807,434.1125679,1094.098206,400.4105902,1108.540421,366.766001,996.7420578,403.6154008,1012.481461,374.5138729,1036.246834,363.1717336,1053.996162,365.6671858,987.4361801,390.1014125,1032.543297,342.5902319,1075.407829,338.4970737,1102.314949,349.7719431,984.3365479,381.1941504,1028.601036,328.5176468,1075.708466,329.3062484,1103.969078,345.5499101,985.1065063,374.6335745,1024.902992,324.8309398,1061.402664,321.1677933,1085.040894,331.3177121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
565.3682899,717.9840517,662.6558876,607.5885129,689.0044785,488.2290959,716.0988235,390.7511616,737.3739624,304.5788348,572.629509,391.4717531,581.9193077,271.7568684,658.2057381,252.2443128,716.9008827,265.2700961,533.6501884,386.8505752,547.7856445,239.5338285,646.972847,228.7822151,718.1607056,265.3037149,491.9655418,393.7601495,519.5214272,241.0428286,625.9931946,237.8660363,697.5063515,277.7870107,459.569006,413.0436659,523.167057,293.5520911,609.0180016,275.1191998,673.014679,292.2520137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
1182.062645,682.8449464,1166.821518,634.2422247,1171.346054,586.2453175,1195.151138,557.7990103,1222.509727,540.869422,1157.643356,563.4352541,1205.207977,508.2369053,1239.996185,503.2423639,1262.966537,513.7305629,1171.517944,566.3326192,1221.821251,499.2391348,1258.545456,500.7382214,1279.207306,516.8347585,1194.508667,575.9826493,1241.213379,512.6516068,1278.100319,513.1924367,1297.241936,525.7499385,1224.333458,590.99154,1260.468636,538.6429524,1286.944771,532.5397146,1302.207756,537.4839163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
856.7316628,764.1592026,902.329731,711.3507342,918.0467606,661.2533355,935.480175,626.2727165,946.3713455,598.8728571,823.0872917,619.8793817,860.0011253,560.7306862,906.3352203,561.8032694,935.6352997,574.0006042,811.5673828,625.7668734,858.1123352,552.9100728,909.5890045,556.9449735,939.9009132,576.0382676,814.3635178,635.2108455,857.6332283,567.7837157,908.4614182,568.1087995,938.2704163,584.1076183,830.2348709,650.0584817,863.3364487,596.2737966,901.5279007,586.5014577,929.2200279,592.0188046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
1708.981476,514.2318678,1723.217697,476.1427402,1728.323135,430.5441141,1749.043465,390.0514591,1763.25119,356.0758638,1638.440094,413.3281302,1678.430099,348.3843505,1720.655136,334.0859771,1753.064461,339.0575695,1639.057961,409.2364204,1682.312622,335.3202653,1729.737511,327.7184558,1762.039146,338.5297751,1654.407921,406.4895272,1691.946144,333.9536262,1738.691483,324.6821415,1769.525871,335.4314053,1684.436188,404.487977,1713.110161,344.2083442,1744.941788,334.9249828,1766.633034,342.4286234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
1078.195267,764.0374088,1232.184448,626.72616,1277.600784,498.862617,1328.633881,406.7074943,1383.07766,327.2704518,1062.530937,367.9762137,1178.958092,246.0655332,1293.625031,235.9917194,1374.178276,265.694958,1039.716339,369.2643178,1189.546623,219.8463875,1317.549133,233.5496646,1395.315628,288.0328774,1053.456573,384.3653905,1201.675529,228.3831668,1325.060577,242.0893246,1397.300377,297.0069587,1099.467201,407.9624462,1222.666855,286.7204404,1314.431419,278.0142474,1377.671356,303.4641194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
293.848772,790.9374118,337.2782135,754.3720579,356.5681171,708.6983728,371.9600487,670.1895976,387.4782944,634.1557074,280.0872231,665.7810116,299.4711685,610.7703424,336.9330311,606.7096281,360.9469414,616.717701,262.6401901,668.1458187,288.6616516,598.1482744,335.8121109,598.9203,363.7755489,617.6133871,254.3468285,674.1814327,279.9418545,604.2563725,328.7226391,603.0457091,358.1807327,618.6541057,256.9516182,684.6358681,287.7640057,632.1105766,324.5650578,621.7832136,350.2483749,625.4533124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
282.5657558,788.1798649,327.3747826,753.5146093,347.7635193,707.5931525,363.4978008,669.1105771,379.3350792,633.344028,280.1564312,665.2911973,294.2825603,608.1392241,330.9905434,603.8338923,354.8038101,614.3131757,262.6746082,667.3785567,283.2713127,596.4194727,330.132494,597.4417162,357.5927353,616.5807152,251.6479397,672.3508573,273.5677528,602.2057056,322.2921753,601.7144752,351.0594177,618.4777236,249.3745422,681.6603541,278.3408546,628.5930419,316.0249901,619.6898031,341.6828156,625.7072639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
871.7211342,768.9661288,992.0324707,646.857276,1029.596558,534.0030742,1071.481819,460.1817405,1109.374924,396.0932529,836.2298012,415.1312506,940.8978081,307.8376865,1039.307785,296.2780631,1111.060753,313.2495904,810.857048,418.9971399,944.6869469,285.5687428,1058.048973,293.0835843,1131.278458,334.8777008,819.1545868,432.6511073,950.3216171,294.5387363,1062.729034,307.8018951,1132.337265,354.7507453,856.4904785,453.1990707,968.2840347,346.609844,1050.076218,336.7598712,1107.204208,355.2141345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
524.8355484,474.806968,569.057579,444.2938364,580.1020432,400.849421,591.985817,365.9231651,596.3232994,334.2154956,511.6973305,362.969023,524.4027328,321.2629366,553.4770775,313.3008313,575.6847954,319.4952536,495.1291466,359.2286932,507.0134354,303.8775229,544.0885162,296.3690543,572.4700928,306.5783572,481.4962006,359.2960596,493.1454277,298.3008885,536.7226982,292.0380056,568.8411713,303.3878374,473.5809517,363.0580831,493.0539894,309.2271459,527.974205,299.9480653,556.9046974,306.6628146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zero - 0
