0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,class_id
1179.164772,477.9531348,1148.147049,462.465148,1129.885597,430.7581544,1123.399773,404.3881989,1120.326691,384.3705404,1157.831955,372.6867735,1152.625237,326.655947,1150.36274,297.16802,1149.700356,272.9358923,1177.522888,368.8193715,1177.857513,316.8061674,1176.85627,279.9800384,1176.804314,250.0290442,1195.920525,375.1618838,1204.629936,323.9254367,1209.703331,289.3838418,1214.466248,261.2352598,1212.004166,388.5479307,1221.786232,346.6651082,1229.051514,318.7505221,1235.329742,295.4016566,N - n
637.8309059,548.9021444,648.5791397,512.5047076,686.8104744,489.1107488,719.1818047,486.0277963,736.5443802,488.944087,691.9034958,467.4543786,728.6398315,425.1717675,752.8356743,396.6995823,769.8533821,371.4220691,699.0336227,480.3059363,739.8979568,438.429358,763.3224678,406.9017076,777.3629379,381.1764801,702.184124,505.5513275,766.6315842,507.7263951,766.6259766,528.6969995,757.6990128,538.5312009,705.9697151,537.6738167,756.8669701,546.1934566,751.1881828,559.6719432,736.85606,563.8864446,N - n
1654.377708,460.0291121,1611.82869,439.1990018,1585.289726,402.4619329,1567.392998,373.6440647,1551.261292,352.325685,1614.559021,344.1569424,1585.910797,304.6097982,1563.733978,280.6167197,1543.63369,262.9187751,1639.033012,334.4507146,1623.682938,281.2060547,1603.361435,252.2923994,1582.956619,231.5949941,1662.112999,335.982728,1657.33429,279.7018182,1647.639885,242.5628525,1638.984604,213.6045384,1683.327484,346.5911436,1680.628853,298.5399055,1676.838341,264.8206437,1671.992455,236.2891871,N - n
901.6448593,892.5657964,932.2868729,827.6197314,996.8987274,778.6131978,1059.535904,772.0027971,1105.289383,775.423193,974.5028687,750.89849,1037.497444,672.1532965,1081.197624,624.2788267,1117.89711,588.3700132,970.994339,778.8014245,1050.469322,701.4587259,1098.467331,650.1601267,1137.646866,608.8270497,977.3337936,830.6232476,1108.265305,826.8498945,1104.826927,849.3378997,1080.08812,858.472302,994.4319534,892.1026325,1107.235107,890.2499771,1096.957741,897.2253728,1065.762749,893.1907296,N - n
1201.311378,660.4070878,1208.166275,607.9401827,1248.397865,580.7933736,1288.073616,575.9541965,1310.35984,583.1287622,1256.581879,556.7226934,1299.696693,504.5849597,1330.568275,477.8394842,1356.01593,456.8107188,1279.590683,572.6134944,1332.285233,522.3535538,1365.057106,492.4873388,1387.171898,469.6133208,1293.958282,598.3307719,1361.120796,596.3680387,1347.834778,619.5285487,1329.839859,630.3801656,1305.404663,630.3530645,1349.576454,643.3304715,1333.739548,659.7119236,1314.3116,662.514596,N - n
1392.961464,545.5064034,1402.17865,501.3489604,1441.768913,474.6522474,1475.621452,468.7955582,1488.453369,474.9606586,1441.313324,455.3585601,1482.096748,405.3629351,1512.276192,378.7882411,1535.400238,357.1439731,1457.624359,470.2214849,1506.073494,420.55619,1535.713005,388.7716269,1555.186729,363.5649884,1467.450371,496.5160918,1540.241432,492.3315239,1533.439407,519.5960712,1519.130859,533.9821529,1477.886467,528.5124743,1530.883141,536.6114366,1523.21125,555.968821,1506.651192,563.3265281,N - n
1165.259171,900.6032825,1181.18248,823.5015321,1252.440376,767.8679252,1329.517708,763.7232041,1381.150818,769.8419881,1243.240585,748.0481172,1319.795952,666.527288,1373.206673,619.398644,1419.982224,584.0639734,1250.133591,787.07973,1353.285828,710.1855826,1410.953064,658.0106735,1456.134338,615.8431292,1263.129387,841.9548941,1403.308182,824.0393686,1381.585693,840.7736492,1344.235382,847.4824762,1280.315552,901.5951419,1388.711586,886.9576192,1368.026276,890.5843949,1329.782982,884.6677423,N - n
862.710228,889.7400784,889.126339,846.2459993,936.6249847,836.3211608,975.015564,850.946002,995.7892227,866.7883301,941.8585968,826.0048056,990.6888199,792.5483465,1022.031326,774.2487073,1048.022232,760.4777098,948.6825371,857.6975083,1006.170502,825.7983613,1039.618149,805.4942107,1064.723167,787.4144697,949.9031067,892.5632215,1015.82531,896.8735743,1023.174019,898.2628083,1016.549492,896.3496423,946.7178154,922.3343253,998.3547592,924.4789124,998.339653,916.8138885,991.401329,911.2237358,N - n
913.1851387,896.5948391,941.2117767,851.0721087,987.3501205,840.4525566,1023.103638,859.4156241,1044.043236,880.8185577,997.5058365,833.299942,1049.16481,805.8939672,1079.74411,788.7323141,1104.302559,776.4153099,1004.830627,863.7370491,1063.67054,835.8632112,1097.372017,816.9844723,1122.860527,801.4797163,1006.136398,898.2283044,1071.41304,906.6102505,1071.857071,909.408803,1059.760323,907.7349114,1002.902527,929.8377085,1053.799324,935.0989795,1049.699135,929.5747447,1036.523666,924.4267058,N - n
1126.880379,683.6504459,1139.738045,636.7503262,1178.71788,610.9110618,1216.044617,610.2195668,1234.546509,618.1796122,1182.385941,588.617785,1227.938461,539.481411,1257.365341,513.6873364,1281.283035,492.2194505,1199.189529,602.2554016,1251.89106,551.383338,1282.60231,523.9710546,1305.583191,502.1776986,1210.011406,627.54035,1280.333633,626.4738822,1266.959496,652.4650669,1248.906212,664.5629454,1220.020866,660.4951501,1269.917908,673.544333,1257.81395,691.0877824,1239.929924,694.855535,N - n
662.1536064,893.9164066,694.6257591,831.5201569,753.9392281,791.4785314,809.7670555,792.2248721,847.8257561,800.0956321,733.7817192,761.2477398,791.6378975,692.0871091,831.9345474,650.692234,868.6082268,615.7732201,720.8757019,784.8584747,795.6920815,714.7717094,838.7667274,666.1912608,872.5980949,628.3187485,719.4442749,835.2904844,848.562355,840.2597594,845.4348564,859.5059395,815.231781,864.9555659,731.3510513,892.1496248,842.2398949,899.5504618,834.08638,904.7364163,801.0310364,895.7282495,N - n
917.4283218,535.7035518,932.8648567,507.2822535,972.8692245,483.3105147,1004.873543,474.6400809,1028.371239,473.3123553,974.3924332,453.8193691,1007.586136,410.3258693,1030.372581,383.3669972,1047.005196,360.328989,980.6933212,461.4167047,1020.56797,419.385792,1044.567833,394.6252584,1061.772766,375.0731778,985.1917648,482.6349521,1054.605789,482.0673752,1057.698784,505.3814793,1051.264915,519.6338904,991.0451889,511.2913728,1046.4925,525.8509398,1051.386566,544.5449281,1047.041359,556.4836764,N - n
339.0797424,845.097456,364.0699196,804.7922873,411.5413284,793.7868834,449.6615696,811.23667,473.34589,830.9744668,415.9312534,781.6171002,467.0414829,752.4895334,499.0445709,734.9249697,524.9164581,720.8635211,417.1070766,809.817245,476.5603638,782.8647137,510.4053497,760.9743476,534.4410324,742.8693724,415.8221054,844.1887665,485.7147217,855.9703803,491.4189148,858.0868363,482.3155975,857.1658516,412.102375,877.8507686,469.6130276,881.2985229,473.7926388,876.714263,467.8445435,872.8126788,N - n
1373.253365,542.4886608,1383.097572,500.8421516,1423.48011,476.0729277,1458.108444,472.1128929,1472.270393,478.519907,1422.825394,457.213726,1458.032684,411.3136733,1482.437439,384.6478593,1500.294914,360.7867777,1433.948822,470.3264451,1476.11618,427.6628101,1502.897987,399.0244138,1520.589638,374.1289544,1440.739059,495.0854659,1506.139755,498.2463098,1507.201653,522.5930536,1498.112068,536.7529285,1447.790909,525.0511694,1499.580803,536.8402505,1497.770233,553.8152218,1487.741432,562.899735,N - n
